2016-10-25 18:36:34,965 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:36:34,973 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:36:48,110 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:36:48,118 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:36:48,119 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:36:48,157 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:41:13,277 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:41:13,284 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:41:13,286 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:41:13,293 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:41:44,612 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:41:44,671 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:41:44,677 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:41:44,682 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:51:19,551 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:51:19,617 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:51:19,620 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:51:19,627 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:53:13,199 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:53:13,260 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:53:13,262 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:53:13,269 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:53:48,412 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:53:48,419 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:53:48,420 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:53:48,426 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:54:20,021 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:54:20,043 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:54:20,044 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:54:20,049 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:54:54,179 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:54:54,185 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:54:54,186 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:54:54,192 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:55:10,839 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:55:10,849 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:55:10,854 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:55:10,860 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:55:26,202 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:55:26,245 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:55:26,246 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:55:26,251 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:14:05,452 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:14:05,459 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:14:05,465 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:14:05,471 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:14:38,685 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:14:38,692 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:14:38,694 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:14:38,699 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:15:45,836 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:15:45,854 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:15:45,861 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:15:45,868 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:15:56,476 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:15:56,481 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:15:56,482 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:15:56,487 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:17:55,676 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:17:55,685 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:17:55,690 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:17:55,695 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:18:11,721 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:18:11,727 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:18:11,728 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:18:11,734 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:25:27,913 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:25:27,921 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:25:27,927 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:25:27,933 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:27:18,320 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:27:18,326 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:27:18,328 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:27:18,333 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:30:48,424 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:30:48,436 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:30:48,442 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:30:48,446 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:32:46,671 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:32:46,680 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:32:46,681 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:32:46,688 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 19:33:12,414 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:33:12,424 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 19:33:12,429 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 19:33:12,434 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-26 11:18:06,164 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 11:18:06,183 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-26 11:18:06,185 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 11:18:06,190 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-26 11:25:20,045 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 11:25:20,055 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-26 11:25:20,057 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 11:25:20,063 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-26 12:07:30,837 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 12:07:30,851 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-26 12:07:30,854 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 12:07:30,861 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-26 12:23:13,997 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 12:23:14,011 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-26 12:23:14,015 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 12:23:14,024 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-26 12:30:02,903 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 12:30:02,929 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-26 12:30:02,931 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-26 12:30:02,938 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-26 12:30:56,195 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
